<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.19	00:00:00	1.11756	1.11819	1.11620	1.11690	462	0	12
2025.05.19	01:00:00	1.11705	1.11935	1.11696	1.11896	2191	0	8
2025.05.19	02:00:00	1.11897	1.11935	1.11812	1.11883	2097	0	8
2025.05.19	03:00:00	1.11883	1.11981	1.11795	1.11967	3922	0	8
2025.05.19	04:00:00	1.11967	1.11985	1.11726	1.11756	3601	0	8
2025.05.19	05:00:00	1.11756	1.11877	1.11718	1.11817	2993	0	8
2025.05.19	06:00:00	1.11816	1.11849	1.11782	1.11807	2461	0	8
2025.05.19	07:00:00	1.11805	1.11867	1.11768	1.11833	1985	0	8
2025.05.19	08:00:00	1.11832	1.11877	1.11757	1.11844	2383	0	8
2025.05.19	09:00:00	1.11843	1.12118	1.11814	1.12087	4261	0	8
2025.05.19	10:00:00	1.12088	1.12445	1.12051	1.12378	5250	0	8
2025.05.19	11:00:00	1.12381	1.12586	1.12353	1.12567	4621	0	8
2025.05.19	12:00:00	1.12570	1.12799	1.12545	1.12793	4683	0	8
2025.05.19	13:00:00	1.12796	1.12876	1.12681	1.12779	4081	0	8
2025.05.19	14:00:00	1.12778	1.12795	1.12614	1.12725	3729	0	8
2025.05.19	15:00:00	1.12725	1.12729	1.12563	1.12564	3912	0	8
2025.05.19	16:00:00	1.12564	1.12646	1.12467	1.12508	5472	0	8
2025.05.19	17:00:00	1.12510	1.12572	1.12410	1.12531	4658	0	8
2025.05.19	18:00:00	1.12531	1.12593	1.12330	1.12356	3703	0	8
2025.05.19	19:00:00	1.12356	1.12392	1.12290	1.12347	2977	0	8
2025.05.19	20:00:00	1.12347	1.12381	1.12236	1.12297	2158	0	8
2025.05.19	21:00:00	1.12296	1.12362	1.12241	1.12344	1861	0	8
2025.05.19	22:00:00	1.12344	1.12414	1.12325	1.12396	1270	0	8
2025.05.19	23:00:00	1.12394	1.12442	1.12329	1.12330	1386	0	8
2025.05.20	00:00:00	1.12342	1.12429	1.12328	1.12422	504	0	28
2025.05.20	01:00:00	1.12422	1.12433	1.12345	1.12347	916	0	8
2025.05.20	02:00:00	1.12348	1.12357	1.12309	1.12318	927	0	9
2025.05.20	03:00:00	1.12318	1.12319	1.12176	1.12273	2412	0	8
2025.05.20	04:00:00	1.12278	1.12508	1.12278	1.12378	3328	0	8
2025.05.20	05:00:00	1.12379	1.12457	1.12256	1.12315	2246	0	8
2025.05.20	06:00:00	1.12314	1.12470	1.12288	1.12445	2620	0	8
2025.05.20	07:00:00	1.12443	1.12500	1.12400	1.12417	2261	0	8
2025.05.20	08:00:00	1.12417	1.12579	1.12413	1.12540	3744	0	8
2025.05.20	09:00:00	1.12541	1.12617	1.12502	1.12570	4163	0	8
2025.05.20	10:00:00	1.12567	1.12773	1.12528	1.12759	4545	0	8
2025.05.20	11:00:00	1.12757	1.12758	1.12468	1.12578	3836	0	8
2025.05.20	12:00:00	1.12578	1.12665	1.12494	1.12547	3272	0	8
2025.05.20	13:00:00	1.12547	1.12573	1.12426	1.12440	3017	0	8
2025.05.20	14:00:00	1.12441	1.12512	1.12434	1.12454	2618	0	0
2025.05.20	15:00:00	1.12452	1.12467	1.12231	1.12338	3856	0	8
2025.05.20	16:00:00	1.12337	1.12489	1.12243	1.12453	4923	0	8
2025.05.20	17:00:00	1.12453	1.12687	1.12451	1.12680	5373	0	8
2025.05.20	18:00:00	1.12681	1.12693	1.12491	1.12526	3214	0	8
2025.05.20	19:00:00	1.12524	1.12576	1.12447	1.12562	2574	0	8
2025.05.20	20:00:00	1.12561	1.12771	1.12543	1.12733	2198	0	8
2025.05.20	21:00:00	1.12733	1.12798	1.12707	1.12719	2542	0	8
2025.05.20	22:00:00	1.12719	1.12822	1.12714	1.12799	1797	0	8
2025.05.20	23:00:00	1.12804	1.12854	1.12778	1.12813	1053	0	0
2025.05.21	00:00:00	1.12811	1.12837	1.12774	1.12813	647	0	8
2025.05.21	01:00:00	1.12816	1.12859	1.12797	1.12805	1485	0	8
2025.05.21	02:00:00	1.12807	1.12895	1.12800	1.12877	1209	0	8
2025.05.21	03:00:00	1.12878	1.13007	1.12871	1.12948	2663	0	8
2025.05.21	04:00:00	1.12948	1.13022	1.12862	1.12980	2829	0	8
2025.05.21	05:00:00	1.12980	1.13256	1.12967	1.13214	3269	0	8
2025.05.21	06:00:00	1.13214	1.13392	1.13187	1.13335	2499	0	8
2025.05.21	07:00:00	1.13335	1.13362	1.13252	1.13284	1826	0	8
2025.05.21	08:00:00	1.13284	1.13373	1.13261	1.13314	2733	0	8
2025.05.21	09:00:00	1.13313	1.13526	1.13218	1.13321	5128	0	8
2025.05.21	10:00:00	1.13321	1.13334	1.13136	1.13228	4859	0	8
2025.05.21	11:00:00	1.13228	1.13333	1.13116	1.13221	3906	0	8
2025.05.21	12:00:00	1.13223	1.13342	1.13142	1.13341	3224	0	8
2025.05.21	13:00:00	1.13341	1.13615	1.13309	1.13382	4350	0	8
2025.05.21	14:00:00	1.13382	1.13440	1.13185	1.13228	3563	0	8
2025.05.21	15:00:00	1.13236	1.13343	1.13169	1.13340	4340	0	8
2025.05.21	16:00:00	1.13343	1.13383	1.13228	1.13364	4670	0	8
2025.05.21	17:00:00	1.13363	1.13538	1.13322	1.13402	4985	0	8
2025.05.21	18:00:00	1.13402	1.13478	1.13322	1.13423	3862	0	8
2025.05.21	19:00:00	1.13422	1.13517	1.13386	1.13399	2585	0	8
2025.05.21	20:00:00	1.13399	1.13623	1.13371	1.13477	4691	0	8
2025.05.21	21:00:00	1.13475	1.13484	1.13311	1.13327	3137	0	8
2025.05.21	22:00:00	1.13327	1.13386	1.13177	1.13184	2898	0	8
2025.05.21	23:00:00	1.13181	1.13312	1.13151	1.13235	1599	0	8
2025.05.22	00:00:00	1.13238	1.13297	1.13211	1.13272	492	0	18
2025.05.22	01:00:00	1.13270	1.13297	1.13147	1.13148	2398	0	8
2025.05.22	02:00:00	1.13147	1.13319	1.13105	1.13315	2280	0	8
2025.05.22	03:00:00	1.13316	1.13430	1.13255	1.13267	4344	0	8
2025.05.22	04:00:00	1.13267	1.13402	1.13169	1.13372	4309	0	8
2025.05.22	05:00:00	1.13372	1.13443	1.13281	1.13381	3171	0	8
2025.05.22	06:00:00	1.13382	1.13414	1.13303	1.13326	2626	0	8
2025.05.22	07:00:00	1.13323	1.13339	1.13244	1.13326	1987	0	8
2025.05.22	08:00:00	1.13326	1.13347	1.13244	1.13328	2723	0	8
2025.05.22	09:00:00	1.13328	1.13414	1.13170	1.13220	4545	0	8
2025.05.22	10:00:00	1.13218	1.13243	1.12950	1.13204	5312	0	8
2025.05.22	11:00:00	1.13193	1.13341	1.13008	1.13014	5413	0	8
2025.05.22	12:00:00	1.13012	1.13027	1.12905	1.12938	4257	0	8
2025.05.22	13:00:00	1.12937	1.12991	1.12897	1.12915	3453	0	8
2025.05.22	14:00:00	1.12916	1.13125	1.12914	1.13080	3926	0	8
2025.05.22	15:00:00	1.13083	1.13144	1.12844	1.12945	4458	0	8
2025.05.22	16:00:00	1.12945	1.13085	1.12812	1.12828	5484	0	8
2025.05.22	17:00:00	1.12826	1.12974	1.12745	1.12767	5616	0	8
2025.05.22	18:00:00	1.12771	1.12878	1.12653	1.12800	4568	0	8
2025.05.22	19:00:00	1.12797	1.12874	1.12679	1.12688	3261	0	8
2025.05.22	20:00:00	1.12687	1.12703	1.12553	1.12675	3311	0	8
2025.05.22	21:00:00	1.12673	1.12802	1.12669	1.12775	2066	0	8
2025.05.22	22:00:00	1.12776	1.12853	1.12775	1.12782	1822	0	8
2025.05.22	23:00:00	1.12783	1.12830	1.12769	1.12774	1215	0	8
2025.05.23	00:00:00	1.12773	1.12802	1.12755	1.12793	427	0	24
2025.05.23	01:00:00	1.12793	1.12865	1.12793	1.12858	1530	0	8
2025.05.23	02:00:00	1.12859	1.12883	1.12806	1.12815	1385	0	8
2025.05.23	03:00:00	1.12814	1.12994	1.12785	1.12965	2753	0	8
2025.05.23	04:00:00	1.12965	1.13182	1.12946	1.13136	2943	0	8
2025.05.23	05:00:00	1.13136	1.13174	1.13077	1.13143	1915	0	8
2025.05.23	06:00:00	1.13144	1.13168	1.13105	1.13109	1460	0	8
2025.05.23	07:00:00	1.13109	1.13203	1.13074	1.13173	1620	0	8
2025.05.23	08:00:00	1.13173	1.13253	1.13076	1.13221	2176	0	8
2025.05.23	09:00:00	1.13217	1.13264	1.13096	1.13115	3567	0	8
2025.05.23	10:00:00	1.13120	1.13435	1.13089	1.13389	4374	0	8
2025.05.23	11:00:00	1.13389	1.13441	1.13323	1.13414	2973	0	8
2025.05.23	12:00:00	1.13413	1.13534	1.13378	1.13486	3409	0	8
2025.05.23	13:00:00	1.13487	1.13572	1.13439	1.13483	2964	0	8
